Year,data.Geography,data.Industry,Value
2015,data.Prince Edward Island,data.Manufacturing [BS3A0],0.005137615
2016,data.Prince Edward Island,data.Manufacturing [BS3A0],0.006280667
2017,data.Prince Edward Island,data.Manufacturing [BS3A0],0.007372401
2018,data.Prince Edward Island,data.Manufacturing [BS3A0],0.018478261
2019,data.Prince Edward Island,data.Manufacturing [BS3A0],0.017605634
2015,data.Prince Edward Island,"data.Professional, scientific and technical services [BS540]",0.020920502
2016,data.Prince Edward Island,"data.Professional, scientific and technical services [BS540]",0.020964361
2017,data.Prince Edward Island,"data.Professional, scientific and technical services [BS540]",0.017241379
2018,data.Prince Edward Island,"data.Professional, scientific and technical services [BS540]",0.027898551
2019,data.Prince Edward Island,"data.Professional, scientific and technical services [BS540]",0.028951747
2015,data.Prince Edward Island,"data.Administrative and support, waste management and remediation services [BS560]",0.044197138
2016,data.Prince Edward Island,"data.Administrative and support, waste management and remediation services [BS560]",0.046183953
2017,data.Prince Edward Island,"data.Administrative and support, waste management and remediation services [BS560]",0.042307692
2018,data.Prince Edward Island,"data.Administrative and support, waste management and remediation services [BS560]",0.052290076
2019,data.Prince Edward Island,"data.Administrative and support, waste management and remediation services [BS560]",0.068123862
2015,data.Prince Edward Island,data.Other industries,0.005791125
2016,data.Prince Edward Island,data.Other industries,0.005768884
2017,data.Prince Edward Island,data.Other industries,0.005170903
2018,data.Prince Edward Island,data.Other industries,0.005798102
2019,data.Prince Edward Island,data.Other industries,0.005918557
2015,data.Nova Scotia,"data.Total, all industries",0.011809902
2016,data.Nova Scotia,"data.Total, all industries",0.011328779
2017,data.Nova Scotia,"data.Total, all industries",0.011976599
2018,data.Nova Scotia,"data.Total, all industries",0.012578427
2019,data.Nova Scotia,"data.Total, all industries",0.012683444
2015,data.Nova Scotia,data.Utilities [BS220],0.112955466
2016,data.Nova Scotia,data.Utilities [BS220],0.118714556
2017,data.Nova Scotia,data.Utilities [BS220],0.131782946
2018,data.Nova Scotia,data.Utilities [BS220],0.141001855
2019,data.Nova Scotia,data.Utilities [BS220],0.132368897
2015,data.Nova Scotia,data.Engineering construction [BS23C],0.048491119
2016,data.Nova Scotia,data.Engineering construction [BS23C],0.030273698
2017,data.Nova Scotia,data.Engineering construction [BS23C],0.033333333
2018,data.Nova Scotia,data.Engineering construction [BS23C],0.030255591
2019,data.Nova Scotia,data.Engineering construction [BS23C],0.027028704
2015,data.Nova Scotia,data.Manufacturing [BS3A0],0.014920997
2016,data.Nova Scotia,data.Manufacturing [BS3A0],0.019052272
2017,data.Nova Scotia,data.Manufacturing [BS3A0],0.019338761
2018,data.Nova Scotia,data.Manufacturing [BS3A0],0.016273813
2019,data.Nova Scotia,data.Manufacturing [BS3A0],0.012430081
2015,data.Nova Scotia,"data.Professional, scientific and technical services [BS540]",0.024945926
2016,data.Nova Scotia,"data.Professional, scientific and technical services [BS540]",0.02565101
2017,data.Nova Scotia,"data.Professional, scientific and technical services [BS540]",0.033435366
2018,data.Nova Scotia,"data.Professional, scientific and technical services [BS540]",0.042290553
2019,data.Nova Scotia,"data.Professional, scientific and technical services [BS540]",0.049339207
2015,data.Nova Scotia,"data.Administrative and support, waste management and remediation services [BS560]",0.077833028
2016,data.Nova Scotia,"data.Administrative and support, waste management and remediation services [BS560]",0.078881531
2017,data.Nova Scotia,"data.Administrative and support, waste management and remediation services [BS560]",0.070613929
2018,data.Nova Scotia,"data.Administrative and support, waste management and remediation services [BS560]",0.078440582
2019,data.Nova Scotia,"data.Administrative and support, waste management and remediation services [BS560]",0.085955848
2015,data.Nova Scotia,data.Other industries,0.003420216
2016,data.Nova Scotia,data.Other industries,0.003432887
2017,data.Nova Scotia,data.Other industries,0.003752554
2018,data.Nova Scotia,data.Other industries,0.003916721
2019,data.Nova Scotia,data.Other industries,0.003878408
2015,data.New Brunswick,"data.Total, all industries",0.014998778
2016,data.New Brunswick,"data.Total, all industries",0.015992397
2017,data.New Brunswick,"data.Total, all industries",0.015854376
2018,data.New Brunswick,"data.Total, all industries",0.016427341
2019,data.New Brunswick,"data.Total, all industries",0.016654808
2015,data.New Brunswick,data.Utilities [BS220],0.461595547
2016,data.New Brunswick,data.Utilities [BS220],0.474906367
2017,data.New Brunswick,data.Utilities [BS220],0.481654676
2018,data.New Brunswick,data.Utilities [BS220],0.490405904
2019,data.New Brunswick,data.Utilities [BS220],0.544347826
2015,data.New Brunswick,data.Engineering construction [BS23C],0.026277683
2016,data.New Brunswick,data.Engineering construction [BS23C],0.039184692
2017,data.New Brunswick,data.Engineering construction [BS23C],0.044907319
2018,data.New Brunswick,data.Engineering construction [BS23C],0.045420816
2019,data.New Brunswick,data.Engineering construction [BS23C],0.038854489
2015,data.New Brunswick,data.Manufacturing [BS3A0],0.035332894
2016,data.New Brunswick,data.Manufacturing [BS3A0],0.03562864
2017,data.New Brunswick,data.Manufacturing [BS3A0],0.029780926
2018,data.New Brunswick,data.Manufacturing [BS3A0],0.026568266
2019,data.New Brunswick,data.Manufacturing [BS3A0],0.029232562
2015,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",0.023911383
2016,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",0.027319211
2017,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",0.018635363
2018,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",0.036174636
2019,data.New Brunswick,"data.Professional, scientific and technical services [BS540]",0.034715201
2015,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",0.038135938
2016,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",0.045716946
2017,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",0.051003009
2018,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",0.049542218
2019,data.New Brunswick,"data.Administrative and support, waste management and remediation services [BS560]",0.043494959
2015,data.New Brunswick,data.Other industries,0.004074629
2016,data.New Brunswick,data.Other industries,0.003943996
2017,data.New Brunswick,data.Other industries,0.003663711
2018,data.New Brunswick,data.Other industries,0.004095357
2019,data.New Brunswick,data.Other industries,0.004166982
2015,data.Quebec,"data.Total, all industries",0.01999177
2016,data.Quebec,"data.Total, all industries",0.019087271
2017,data.Quebec,"data.Total, all industries",0.01840727
2018,data.Quebec,"data.Total, all industries",0.019244995
2019,data.Quebec,"data.Total, all industries",0.019318729
2015,data.Quebec,data.Utilities [BS220],0.749229802
2016,data.Quebec,data.Utilities [BS220],0.746728972
2017,data.Quebec,data.Utilities [BS220],0.751965201
2018,data.Quebec,data.Utilities [BS220],0.706541499
2019,data.Quebec,data.Utilities [BS220],0.728706429
2015,data.Quebec,data.Engineering construction [BS23C],0.084460151
2016,data.Quebec,data.Engineering construction [BS23C],0.072194984
2017,data.Quebec,data.Engineering construction [BS23C],0.058301307
2018,data.Quebec,data.Engineering construction [BS23C],0.049718108
2019,data.Quebec,data.Engineering construction [BS23C],0.047601351
2015,data.Quebec,data.Manufacturing [BS3A0],0.022079037
2016,data.Quebec,data.Manufacturing [BS3A0],0.021003239
2017,data.Quebec,data.Manufacturing [BS3A0],0.020599871
2018,data.Quebec,data.Manufacturing [BS3A0],0.02817546
2019,data.Quebec,data.Manufacturing [BS3A0],0.028122914
2015,data.Quebec,"data.Professional, scientific and technical services [BS540]",0.029106418
2016,data.Quebec,"data.Professional, scientific and technical services [BS540]",0.029771356
2017,data.Quebec,"data.Professional, scientific and technical services [BS540]",0.03568277
2018,data.Quebec,"data.Professional, scientific and technical services [BS540]",0.04331775
2019,data.Quebec,"data.Professional, scientific and technical services [BS540]",0.047377272
2015,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",0.046117037
2016,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",0.047563973
2017,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",0.046897879
2018,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",0.045326474
2019,data.Quebec,"data.Administrative and support, waste management and remediation services [BS560]",0.043449815
2015,data.Quebec,data.Other industries,0.00336545
2016,data.Quebec,data.Other industries,0.00318089
2017,data.Quebec,data.Other industries,0.00313824
2018,data.Quebec,data.Other industries,0.003354942
2019,data.Quebec,data.Other industries,0.003377376
2015,data.Ontario,"data.Total, all industries",0.017188971
2016,data.Ontario,"data.Total, all industries",0.016570702
2017,data.Ontario,"data.Total, all industries",0.016729579
2018,data.Ontario,"data.Total, all industries",0.016890291
2019,data.Ontario,"data.Total, all industries",0.017616068
2015,data.Ontario,data.Utilities [BS220],0.640287611
2016,data.Ontario,data.Utilities [BS220],0.650615302
2017,data.Ontario,data.Utilities [BS220],0.686552297
2018,data.Ontario,data.Utilities [BS220],0.701803468
2019,data.Ontario,data.Utilities [BS220],0.728840436
2015,data.Ontario,data.Engineering construction [BS23C],0.050240516
2016,data.Ontario,data.Engineering construction [BS23C],0.039561424
2017,data.Ontario,data.Engineering construction [BS23C],0.037540255
2018,data.Ontario,data.Engineering construction [BS23C],0.031288502
2019,data.Ontario,data.Engineering construction [BS23C],0.031657638
2015,data.Ontario,data.Manufacturing [BS3A0],0.021826994
2016,data.Ontario,data.Manufacturing [BS3A0],0.01569433
2017,data.Ontario,data.Manufacturing [BS3A0],0.021113293
2018,data.Ontario,data.Manufacturing [BS3A0],0.020828812
2019,data.Ontario,data.Manufacturing [BS3A0],0.021589009
2015,data.Ontario,"data.Professional, scientific and technical services [BS540]",0.032161993
2016,data.Ontario,"data.Professional, scientific and technical services [BS540]",0.034678651
2017,data.Ontario,"data.Professional, scientific and technical services [BS540]",0.030884284
2018,data.Ontario,"data.Professional, scientific and technical services [BS540]",0.035511656
2019,data.Ontario,"data.Professional, scientific and technical services [BS540]",0.03684036
2015,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",0.030925943
2016,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",0.034785841
2017,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",0.035152703
2018,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",0.038495795
2019,data.Ontario,"data.Administrative and support, waste management and remediation services [BS560]",0.038909572
2015,data.Ontario,data.Other industries,0.004857034
2016,data.Ontario,data.Other industries,0.005019584
2017,data.Ontario,data.Other industries,0.005016791
2018,data.Ontario,data.Other industries,0.005259388
2019,data.Ontario,data.Other industries,0.005392758
2015,data.Manitoba,"data.Total, all industries",0.023479038
2016,data.Manitoba,"data.Total, all industries",0.025333623
2017,data.Manitoba,"data.Total, all industries",0.027356823
2018,data.Manitoba,"data.Total, all industries",0.025758331
2019,data.Manitoba,"data.Total, all industries",0.025046346
2015,data.Manitoba,data.Utilities [BS220],0.790079365
2016,data.Manitoba,data.Utilities [BS220],0.79962963
2017,data.Manitoba,data.Utilities [BS220],0.771616541
2018,data.Manitoba,data.Utilities [BS220],0.814880952
2019,data.Manitoba,data.Utilities [BS220],0.769398907
2015,data.Manitoba,data.Engineering construction [BS23C],0.15056287
2016,data.Manitoba,data.Engineering construction [BS23C],0.161515588
2017,data.Manitoba,data.Engineering construction [BS23C],0.183908918
2018,data.Manitoba,data.Engineering construction [BS23C],0.149806523
2019,data.Manitoba,data.Engineering construction [BS23C],0.13738378
2015,data.Manitoba,data.Manufacturing [BS3A0],0.012280102
2016,data.Manitoba,data.Manufacturing [BS3A0],0.01571013
2017,data.Manitoba,data.Manufacturing [BS3A0],0.020183486
2018,data.Manitoba,data.Manufacturing [BS3A0],0.018842018
2019,data.Manitoba,data.Manufacturing [BS3A0],0.019152176
2015,data.Manitoba,"data.Professional, scientific and technical services [BS540]",0.031254133
2016,data.Manitoba,"data.Professional, scientific and technical services [BS540]",0.033235046
2017,data.Manitoba,"data.Professional, scientific and technical services [BS540]",0.041332788
2018,data.Manitoba,"data.Professional, scientific and technical services [BS540]",0.041803113
2019,data.Manitoba,"data.Professional, scientific and technical services [BS540]",0.044273884
2015,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",0.031601942
2016,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",0.037050523
2017,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",0.030046551
2018,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",0.051277857
2019,data.Manitoba,"data.Administrative and support, waste management and remediation services [BS560]",0.055002042
2015,data.Manitoba,data.Other industries,0.003310094
2016,data.Manitoba,data.Other industries,0.003330086
2017,data.Manitoba,data.Other industries,0.003540929
2018,data.Manitoba,data.Other industries,0.003727579
2019,data.Manitoba,data.Other industries,0.003685699
2015,data.Saskatchewan,"data.Total, all industries",0.012674212
2016,data.Saskatchewan,"data.Total, all industries",0.011534857
2017,data.Saskatchewan,"data.Total, all industries",0.012383922
2018,data.Saskatchewan,"data.Total, all industries",0.011297212
2019,data.Saskatchewan,"data.Total, all industries",0.01133806
2015,data.Saskatchewan,data.Utilities [BS220],0.119025522
2016,data.Saskatchewan,data.Utilities [BS220],0.112529002
2017,data.Saskatchewan,data.Utilities [BS220],0.121799308
2018,data.Saskatchewan,data.Utilities [BS220],0.125199544
2019,data.Saskatchewan,data.Utilities [BS220],0.122947368
2015,data.Saskatchewan,data.Engineering construction [BS23C],0.0300087
2016,data.Saskatchewan,data.Engineering construction [BS23C],0.022534974
2017,data.Saskatchewan,data.Engineering construction [BS23C],0.020100332
2018,data.Saskatchewan,data.Engineering construction [BS23C],0.017798471
2019,data.Saskatchewan,data.Engineering construction [BS23C],0.02191021
2015,data.Saskatchewan,data.Manufacturing [BS3A0],0.034039523
2016,data.Saskatchewan,data.Manufacturing [BS3A0],0.018229557
2017,data.Saskatchewan,data.Manufacturing [BS3A0],0.013164274
2018,data.Saskatchewan,data.Manufacturing [BS3A0],0.023249149
2019,data.Saskatchewan,data.Manufacturing [BS3A0],0.01805264
2015,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",0.02929776
2016,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",0.031511254
2017,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",0.052847945
2018,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",0.032326733
2019,data.Saskatchewan,"data.Professional, scientific and technical services [BS540]",0.037349693
2015,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",0.086996198
2016,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",0.097055838
2017,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",0.091409635
2018,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",0.095449949
2019,data.Saskatchewan,"data.Administrative and support, waste management and remediation services [BS560]",0.088087935
2015,data.Saskatchewan,data.Other industries,0.004090455
2016,data.Saskatchewan,data.Other industries,0.004191715
2017,data.Saskatchewan,data.Other industries,0.005157549
2018,data.Saskatchewan,data.Other industries,0.004187227
2019,data.Saskatchewan,data.Other industries,0.004144085
2015,data.Alberta,"data.Total, all industries",0.011422049
2016,data.Alberta,"data.Total, all industries",0.012498632
2017,data.Alberta,"data.Total, all industries",0.013718227
2018,data.Alberta,"data.Total, all industries",0.012752063
2019,data.Alberta,"data.Total, all industries",0.013165713
2015,data.Alberta,data.Utilities [BS220],0.057495373
2016,data.Alberta,data.Utilities [BS220],0.066117879
2017,data.Alberta,data.Utilities [BS220],0.068147208
2018,data.Alberta,data.Utilities [BS220],0.085446009
2019,data.Alberta,data.Utilities [BS220],0.085200379
2015,data.Alberta,data.Engineering construction [BS23C],0.017901019
2016,data.Alberta,data.Engineering construction [BS23C],0.025164744
2017,data.Alberta,data.Engineering construction [BS23C],0.025458738
2018,data.Alberta,data.Engineering construction [BS23C],0.025008778
2019,data.Alberta,data.Engineering construction [BS23C],0.027944104
2015,data.Alberta,data.Manufacturing [BS3A0],0.0135363
2016,data.Alberta,data.Manufacturing [BS3A0],0.01388449
2017,data.Alberta,data.Manufacturing [BS3A0],0.017722952
2018,data.Alberta,data.Manufacturing [BS3A0],0.019254032
2019,data.Alberta,data.Manufacturing [BS3A0],0.017300932
2015,data.Alberta,"data.Professional, scientific and technical services [BS540]",0.035667304
2016,data.Alberta,"data.Professional, scientific and technical services [BS540]",0.038443098
2017,data.Alberta,"data.Professional, scientific and technical services [BS540]",0.050088921
2018,data.Alberta,"data.Professional, scientific and technical services [BS540]",0.035271637
2019,data.Alberta,"data.Professional, scientific and technical services [BS540]",0.038432608
2015,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",0.063264867
2016,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",0.070444989
2017,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",0.0778649
2018,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",0.0847712
2019,data.Alberta,"data.Administrative and support, waste management and remediation services [BS560]",0.087934015
2015,data.Alberta,data.Other industries,0.00376857
2016,data.Alberta,data.Other industries,0.003668595
2017,data.Alberta,data.Other industries,0.004277981
2018,data.Alberta,data.Other industries,0.003653914
2019,data.Alberta,data.Other industries,0.00362923
2015,data.British Columbia,"data.Total, all industries",0.015086028
2016,data.British Columbia,"data.Total, all industries",0.014401199
2017,data.British Columbia,"data.Total, all industries",0.015964448
2018,data.British Columbia,"data.Total, all industries",0.015369666
2019,data.British Columbia,"data.Total, all industries",0.015842058
2015,data.British Columbia,data.Utilities [BS220],0.579577465
2016,data.British Columbia,data.Utilities [BS220],0.531391261
2017,data.British Columbia,data.Utilities [BS220],0.646067986
2018,data.British Columbia,data.Utilities [BS220],0.734795918
2019,data.British Columbia,data.Utilities [BS220],0.773066522
2015,data.British Columbia,data.Engineering construction [BS23C],0.038131544
2016,data.British Columbia,data.Engineering construction [BS23C],0.039076792
2017,data.British Columbia,data.Engineering construction [BS23C],0.04132713
2018,data.British Columbia,data.Engineering construction [BS23C],0.031041828
2019,data.British Columbia,data.Engineering construction [BS23C],0.033270001
2015,data.British Columbia,data.Manufacturing [BS3A0],0.032347876
2016,data.British Columbia,data.Manufacturing [BS3A0],0.031638304
2017,data.British Columbia,data.Manufacturing [BS3A0],0.038596837
2018,data.British Columbia,data.Manufacturing [BS3A0],0.034160776
2019,data.British Columbia,data.Manufacturing [BS3A0],0.034192801
2015,data.British Columbia,"data.Professional, scientific and technical services [BS540]",0.030448507
2016,data.British Columbia,"data.Professional, scientific and technical services [BS540]",0.031560361
2017,data.British Columbia,"data.Professional, scientific and technical services [BS540]",0.035980706
2018,data.British Columbia,"data.Professional, scientific and technical services [BS540]",0.036197621
2019,data.British Columbia,"data.Professional, scientific and technical services [BS540]",0.040080872
2015,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",0.052794055
2016,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",0.049385093
2017,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",0.050891354
2018,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",0.051267582
2019,data.British Columbia,"data.Administrative and support, waste management and remediation services [BS560]",0.052340652
2015,data.British Columbia,data.Other industries,0.003694136
2016,data.British Columbia,data.Other industries,0.003736316
2017,data.British Columbia,data.Other industries,0.003874503
2018,data.British Columbia,data.Other industries,0.004013189
2019,data.British Columbia,data.Other industries,0.003911451
2015,data.Yukon,"data.Total, all industries",0.01309631
2016,data.Yukon,"data.Total, all industries",0.011505312
2017,data.Yukon,"data.Total, all industries",0.012602322
2018,data.Yukon,"data.Total, all industries",0.011939729
2019,data.Yukon,"data.Total, all industries",0.012
2015,data.Yukon,data.Utilities [BS220],0.821052632
2016,data.Yukon,data.Utilities [BS220],0.826086957
2017,data.Yukon,data.Utilities [BS220],0.792307692
2018,data.Yukon,data.Utilities [BS220],0.723076923
2019,data.Yukon,data.Utilities [BS220],0.715384615
2015,data.Yukon,data.Engineering construction [BS23C],0.093280632
2016,data.Yukon,data.Engineering construction [BS23C],0.061386139
2017,data.Yukon,data.Engineering construction [BS23C],0.043478261
2018,data.Yukon,data.Engineering construction [BS23C],0.029501085
2019,data.Yukon,data.Engineering construction [BS23C],0.031355932
2015,data.Yukon,data.Manufacturing [BS3A0],0
2016,data.Yukon,data.Manufacturing [BS3A0],0
2017,data.Yukon,data.Manufacturing [BS3A0],0
2018,data.Yukon,data.Manufacturing [BS3A0],0
2019,data.Yukon,data.Manufacturing [BS3A0],0
2015,data.Yukon,"data.Professional, scientific and technical services [BS540]",0
2016,data.Yukon,"data.Professional, scientific and technical services [BS540]",0
2017,data.Yukon,"data.Professional, scientific and technical services [BS540]",0
2018,data.Yukon,"data.Professional, scientific and technical services [BS540]",0
2019,data.Yukon,"data.Professional, scientific and technical services [BS540]",0
2015,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.115909091
2016,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.077876106
2017,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.086206897
2018,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.069026549
2019,data.Yukon,"data.Administrative and support, waste management and remediation services [BS560]",0.065
2015,data.Yukon,data.Other industries,0.001285678
2016,data.Yukon,data.Other industries,0.001582499
2017,data.Yukon,data.Other industries,0.002066023
2018,data.Yukon,data.Other industries,0.002330363
2019,data.Yukon,data.Other industries,0.002272727
2015,data.Northwest Territories,"data.Total, all industries",0.032237197
2016,data.Northwest Territories,"data.Total, all industries",0.025572449
2017,data.Northwest Territories,"data.Total, all industries",0.011434109
2018,data.Northwest Territories,"data.Total, all industries",0.010414658
2019,data.Northwest Territories,"data.Total, all industries",0.010546649
2015,data.Northwest Territories,data.Utilities [BS220],0
2016,data.Northwest Territories,data.Utilities [BS220],0
2017,data.Northwest Territories,data.Utilities [BS220],0
2018,data.Northwest Territories,data.Utilities [BS220],0
2019,data.Northwest Territories,data.Utilities [BS220],0
2015,data.Northwest Territories,data.Engineering construction [BS23C],0.233333333
2016,data.Northwest Territories,data.Engineering construction [BS23C],0.196483516
2017,data.Northwest Territories,data.Engineering construction [BS23C],0.056291391
2018,data.Northwest Territories,data.Engineering construction [BS23C],0.031325301
2019,data.Northwest Territories,data.Engineering construction [BS23C],0.036990596
2015,data.Northwest Territories,data.Manufacturing [BS3A0],0
2016,data.Northwest Territories,data.Manufacturing [BS3A0],0
