Year,data.Selected housing vulnerable populations,data.Living with housing problems,data.Statistics,VALUE
2018,"data.Total, one person households",data.Living in inadequate housing,"data.High 95% confidence interval, percentage of households",9
2018,"data.Total, one person households",data.Living in core housing need,data.Percentage of households,22
2018,"data.Total, one person households",data.Living in core housing need,"data.Low 95% confidence interval, percentage of households",21
2018,"data.Total, one person households",data.Living in core housing need,"data.High 95% confidence interval, percentage of households",23
2018,data.Men living alone,data.Living in unaffordable housing,data.Percentage of households,35
2018,data.Men living alone,data.Living in unaffordable housing,"data.Low 95% confidence interval, percentage of households",33
2018,data.Men living alone,data.Living in unaffordable housing,"data.High 95% confidence interval, percentage of households",37
2018,data.Men living alone,data.Living in inadequate housing,data.Percentage of households,8.5
2018,data.Men living alone,data.Living in inadequate housing,"data.Low 95% confidence interval, percentage of households",7.5
2018,data.Men living alone,data.Living in inadequate housing,"data.High 95% confidence interval, percentage of households",9.7
2018,data.Men living alone,data.Living in core housing need,data.Percentage of households,21
2018,data.Men living alone,data.Living in core housing need,"data.Low 95% confidence interval, percentage of households",19
2018,data.Men living alone,data.Living in core housing need,"data.High 95% confidence interval, percentage of households",22
2018,data.Women living alone,data.Living in unaffordable housing,data.Percentage of households,40
2018,data.Women living alone,data.Living in unaffordable housing,"data.Low 95% confidence interval, percentage of households",38
2018,data.Women living alone,data.Living in unaffordable housing,"data.High 95% confidence interval, percentage of households",41
2018,data.Women living alone,data.Living in inadequate housing,data.Percentage of households,8.1
2018,data.Women living alone,data.Living in inadequate housing,"data.Low 95% confidence interval, percentage of households",7.2
2018,data.Women living alone,data.Living in inadequate housing,"data.High 95% confidence interval, percentage of households",9.1
2018,data.Women living alone,data.Living in core housing need,data.Percentage of households,24
2018,data.Women living alone,data.Living in core housing need,"data.Low 95% confidence interval, percentage of households",22
2018,data.Women living alone,data.Living in core housing need,"data.High 95% confidence interval, percentage of households",25
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,data.Percentage of households,38
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,"data.Low 95% confidence interval, percentage of households",34
2018,data.Reference person who experienced homelessness,data.Living in unaffordable housing,"data.High 95% confidence interval, percentage of households",42
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,data.Percentage of households,6.8
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,"data.Low 95% confidence interval, percentage of households",5.1
2018,data.Reference person who experienced homelessness,data.Living in unsuitable housing,"data.High 95% confidence interval, percentage of households",9.1
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,data.Percentage of households,18.8
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,"data.Low 95% confidence interval, percentage of households",15.8
2018,data.Reference person who experienced homelessness,data.Living in inadequate housing,"data.High 95% confidence interval, percentage of households",22
2018,data.Reference person who experienced homelessness,data.Living in core housing need,data.Percentage of households,34
2018,data.Reference person who experienced homelessness,data.Living in core housing need,"data.Low 95% confidence interval, percentage of households",30
2018,data.Reference person who experienced homelessness,data.Living in core housing need,"data.High 95% confidence interval, percentage of households",37
