Year,data.Geography,data.Sex,data.Age group,Value
2019,data.Canada,data.Males,data.25 to 44 years,0.37
2020,data.Canada,data.Males,data.25 to 44 years,0.42
2015,data.Canada,data.Males,data.45 years and over,0.27
2016,data.Canada,data.Males,data.45 years and over,0.27
2017,data.Canada,data.Males,data.45 years and over,0.24
2018,data.Canada,data.Males,data.45 years and over,0.23
2019,data.Canada,data.Males,data.45 years and over,0.2
2020,data.Canada,data.Males,data.45 years and over,0.26
2015,data.Canada,data.Males,data.25 to 54 years,0.47
2016,data.Canada,data.Males,data.25 to 54 years,0.46
2017,data.Canada,data.Males,data.25 to 54 years,0.45
2018,data.Canada,data.Males,data.25 to 54 years,0.42
2019,data.Canada,data.Males,data.25 to 54 years,0.37
2020,data.Canada,data.Males,data.25 to 54 years,0.43
2015,data.Canada,data.Males,data.55 years and over,0.19
2016,data.Canada,data.Males,data.55 years and over,0.19
2017,data.Canada,data.Males,data.55 years and over,0.16
2018,data.Canada,data.Males,data.55 years and over,0.16
2019,data.Canada,data.Males,data.55 years and over,0.16
2020,data.Canada,data.Males,data.55 years and over,0.2
2015,data.Canada,data.Males,data.55 to 64 years,0.28
2016,data.Canada,data.Males,data.55 to 64 years,0.28
2017,data.Canada,data.Males,data.55 to 64 years,0.26
2018,data.Canada,data.Males,data.55 to 64 years,0.25
2019,data.Canada,data.Males,data.55 to 64 years,0.25
2020,data.Canada,data.Males,data.55 to 64 years,0.29
2015,data.Canada,data.Males,data.65 years and over,
2016,data.Canada,data.Males,data.65 years and over,
2017,data.Canada,data.Males,data.65 years and over,
2018,data.Canada,data.Males,data.65 years and over,
2019,data.Canada,data.Males,data.65 years and over,
2020,data.Canada,data.Males,data.65 years and over,
2015,data.Canada,data.Females,data.15 years and over,0.25
2016,data.Canada,data.Females,data.15 years and over,0.24
2017,data.Canada,data.Females,data.15 years and over,0.23
2018,data.Canada,data.Females,data.15 years and over,0.21
2019,data.Canada,data.Females,data.15 years and over,0.18
2020,data.Canada,data.Females,data.15 years and over,0.22
2015,data.Canada,data.Females,data.15 to 24 years,0.19
2016,data.Canada,data.Females,data.15 to 24 years,0.17
2017,data.Canada,data.Females,data.15 to 24 years,0.17
2018,data.Canada,data.Females,data.15 to 24 years,0.16
2019,data.Canada,data.Females,data.15 to 24 years,0.14
2020,data.Canada,data.Females,data.15 to 24 years,0.17
2015,data.Canada,data.Females,data.25 years and over,0.29
2016,data.Canada,data.Females,data.25 years and over,0.26
2017,data.Canada,data.Females,data.25 years and over,0.26
2018,data.Canada,data.Females,data.25 years and over,0.23
2019,data.Canada,data.Females,data.25 years and over,0.2
2020,data.Canada,data.Females,data.25 years and over,0.23
2015,data.Canada,data.Females,data.25 to 44 years,0.33
2016,data.Canada,data.Females,data.25 to 44 years,0.3
2017,data.Canada,data.Females,data.25 to 44 years,0.31
2018,data.Canada,data.Females,data.25 to 44 years,0.27
2019,data.Canada,data.Females,data.25 to 44 years,0.24
2020,data.Canada,data.Females,data.25 to 44 years,0.26
2015,data.Canada,data.Females,data.45 years and over,0.25
2016,data.Canada,data.Females,data.45 years and over,0.24
2017,data.Canada,data.Females,data.45 years and over,0.22
2018,data.Canada,data.Females,data.45 years and over,0.2
2019,data.Canada,data.Females,data.45 years and over,0.18
2020,data.Canada,data.Females,data.45 years and over,0.21
2015,data.Canada,data.Females,data.25 to 54 years,0.33
2016,data.Canada,data.Females,data.25 to 54 years,0.31
2017,data.Canada,data.Females,data.25 to 54 years,0.3
2018,data.Canada,data.Females,data.25 to 54 years,0.27
2019,data.Canada,data.Females,data.25 to 54 years,0.24
2020,data.Canada,data.Females,data.25 to 54 years,0.27
2015,data.Canada,data.Females,data.55 years and over,0.18
2016,data.Canada,data.Females,data.55 years and over,0.17
2017,data.Canada,data.Females,data.55 years and over,0.17
2018,data.Canada,data.Females,data.55 years and over,0.15
2019,data.Canada,data.Females,data.55 years and over,0.13
2020,data.Canada,data.Females,data.55 years and over,0.17
2015,data.Canada,data.Females,data.55 to 64 years,0.23
2016,data.Canada,data.Females,data.55 to 64 years,0.22
2017,data.Canada,data.Females,data.55 to 64 years,0.21
2018,data.Canada,data.Females,data.55 to 64 years,0.18
2019,data.Canada,data.Females,data.55 to 64 years,0.17
2020,data.Canada,data.Females,data.55 to 64 years,0.21
2015,data.Canada,data.Females,data.65 years and over,
2016,data.Canada,data.Females,data.65 years and over,
2017,data.Canada,data.Females,data.65 years and over,
2018,data.Canada,data.Females,data.65 years and over,
2019,data.Canada,data.Females,data.65 years and over,
2020,data.Canada,data.Females,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.34
2016,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.34
2017,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.37
2018,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.35
2019,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.33
2020,data.Newfoundland and Labrador,data.Both sexes,data.15 years and over,0.29
2015,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.15 to 24 years,0.25
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.43
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.4
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.47
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.41
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.38
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 years and over,0.31
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,0.47
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,0.36
2017,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,0.43
2018,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,0.34
2020,data.Newfoundland and Labrador,data.Both sexes,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.52
2016,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.47
2017,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.56
2018,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.48
2019,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.44
2020,data.Newfoundland and Labrador,data.Both sexes,data.25 to 54 years,0.34
2015,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Both sexes,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Both sexes,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Both sexes,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.15 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Males,data.15 to 24 years,
2015,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.25 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2019,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Males,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2016,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2017,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2018,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2019,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2020,data.Newfoundland and Labrador,data.Males,data.25 to 54 years,
2015,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Males,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Males,data.65 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.37
2016,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.36
2017,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.37
2018,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.35
2019,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.34
2020,data.Newfoundland and Labrador,data.Females,data.15 years and over,0.29
2015,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2016,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2017,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2018,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2019,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2020,data.Newfoundland and Labrador,data.Females,data.15 to 24 years,
2015,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.44
2016,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.42
2017,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.46
2018,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.41
2019,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.38
2020,data.Newfoundland and Labrador,data.Females,data.25 years and over,0.31
2015,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2016,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2017,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2018,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2019,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2020,data.Newfoundland and Labrador,data.Females,data.25 to 44 years,
2015,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.45 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,0.51
2016,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,0.46
2017,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,0.52
2018,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,0.47
2019,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,
2020,data.Newfoundland and Labrador,data.Females,data.25 to 54 years,
2015,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.55 years and over,
2015,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2016,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2017,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2018,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2019,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2020,data.Newfoundland and Labrador,data.Females,data.55 to 64 years,
2015,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2016,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2017,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2018,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2019,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2020,data.Newfoundland and Labrador,data.Females,data.65 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.32
2016,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.28
2017,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.26
2018,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.26
2019,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.24
2020,data.Prince Edward Island,data.Both sexes,data.15 years and over,0.26
2015,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2016,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2017,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2018,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2019,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2020,data.Prince Edward Island,data.Both sexes,data.15 to 24 years,
2015,data.Prince Edward Island,data.Both sexes,data.25 years and over,0.39
2016,data.Prince Edward Island,data.Both sexes,data.25 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.25 years and over,0.29
2018,data.Prince Edward Island,data.Both sexes,data.25 years and over,0.3
2019,data.Prince Edward Island,data.Both sexes,data.25 years and over,0.28
2020,data.Prince Edward Island,data.Both sexes,data.25 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2016,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2017,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2018,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2019,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2020,data.Prince Edward Island,data.Both sexes,data.25 to 44 years,
2015,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.45 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2016,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2017,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,0.41
2018,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,0.38
2019,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2020,data.Prince Edward Island,data.Both sexes,data.25 to 54 years,
2015,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.55 years and over,
2015,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2016,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2017,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2018,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2019,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2020,data.Prince Edward Island,data.Both sexes,data.55 to 64 years,
2015,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2016,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2017,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2018,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2019,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2020,data.Prince Edward Island,data.Both sexes,data.65 years and over,
2015,data.Prince Edward Island,data.Males,data.15 years and over,
2016,data.Prince Edward Island,data.Males,data.15 years and over,
2017,data.Prince Edward Island,data.Males,data.15 years and over,
2018,data.Prince Edward Island,data.Males,data.15 years and over,
2019,data.Prince Edward Island,data.Males,data.15 years and over,
2020,data.Prince Edward Island,data.Males,data.15 years and over,
2015,data.Prince Edward Island,data.Males,data.15 to 24 years,
2016,data.Prince Edward Island,data.Males,data.15 to 24 years,
2017,data.Prince Edward Island,data.Males,data.15 to 24 years,
2018,data.Prince Edward Island,data.Males,data.15 to 24 years,
2019,data.Prince Edward Island,data.Males,data.15 to 24 years,
2020,data.Prince Edward Island,data.Males,data.15 to 24 years,
2015,data.Prince Edward Island,data.Males,data.25 years and over,
2016,data.Prince Edward Island,data.Males,data.25 years and over,
2017,data.Prince Edward Island,data.Males,data.25 years and over,
2018,data.Prince Edward Island,data.Males,data.25 years and over,
2019,data.Prince Edward Island,data.Males,data.25 years and over,
2020,data.Prince Edward Island,data.Males,data.25 years and over,
2015,data.Prince Edward Island,data.Males,data.25 to 44 years,
2016,data.Prince Edward Island,data.Males,data.25 to 44 years,
2017,data.Prince Edward Island,data.Males,data.25 to 44 years,
2018,data.Prince Edward Island,data.Males,data.25 to 44 years,
2019,data.Prince Edward Island,data.Males,data.25 to 44 years,
2020,data.Prince Edward Island,data.Males,data.25 to 44 years,
2015,data.Prince Edward Island,data.Males,data.45 years and over,
2016,data.Prince Edward Island,data.Males,data.45 years and over,
2017,data.Prince Edward Island,data.Males,data.45 years and over,
2018,data.Prince Edward Island,data.Males,data.45 years and over,
2019,data.Prince Edward Island,data.Males,data.45 years and over,
2020,data.Prince Edward Island,data.Males,data.45 years and over,
2015,data.Prince Edward Island,data.Males,data.25 to 54 years,
2016,data.Prince Edward Island,data.Males,data.25 to 54 years,
2017,data.Prince Edward Island,data.Males,data.25 to 54 years,
2018,data.Prince Edward Island,data.Males,data.25 to 54 years,
2019,data.Prince Edward Island,data.Males,data.25 to 54 years,
2020,data.Prince Edward Island,data.Males,data.25 to 54 years,
2015,data.Prince Edward Island,data.Males,data.55 years and over,
2016,data.Prince Edward Island,data.Males,data.55 years and over,
2017,data.Prince Edward Island,data.Males,data.55 years and over,
2018,data.Prince Edward Island,data.Males,data.55 years and over,
2019,data.Prince Edward Island,data.Males,data.55 years and over,
2020,data.Prince Edward Island,data.Males,data.55 years and over,
2015,data.Prince Edward Island,data.Males,data.55 to 64 years,
2016,data.Prince Edward Island,data.Males,data.55 to 64 years,
2017,data.Prince Edward Island,data.Males,data.55 to 64 years,
2018,data.Prince Edward Island,data.Males,data.55 to 64 years,
2019,data.Prince Edward Island,data.Males,data.55 to 64 years,
2020,data.Prince Edward Island,data.Males,data.55 to 64 years,
2015,data.Prince Edward Island,data.Males,data.65 years and over,
2016,data.Prince Edward Island,data.Males,data.65 years and over,
2017,data.Prince Edward Island,data.Males,data.65 years and over,
2018,data.Prince Edward Island,data.Males,data.65 years and over,
2019,data.Prince Edward Island,data.Males,data.65 years and over,
2020,data.Prince Edward Island,data.Males,data.65 years and over,
2015,data.Prince Edward Island,data.Females,data.15 years and over,0.33
2016,data.Prince Edward Island,data.Females,data.15 years and over,
2017,data.Prince Edward Island,data.Females,data.15 years and over,0.26
2018,data.Prince Edward Island,data.Females,data.15 years and over,0.27
2019,data.Prince Edward Island,data.Females,data.15 years and over,0.26
2020,data.Prince Edward Island,data.Females,data.15 years and over,
2015,data.Prince Edward Island,data.Females,data.15 to 24 years,
2016,data.Prince Edward Island,data.Females,data.15 to 24 years,
2017,data.Prince Edward Island,data.Females,data.15 to 24 years,
2018,data.Prince Edward Island,data.Females,data.15 to 24 years,
2019,data.Prince Edward Island,data.Females,data.15 to 24 years,
2020,data.Prince Edward Island,data.Females,data.15 to 24 years,
2015,data.Prince Edward Island,data.Females,data.25 years and over,
2016,data.Prince Edward Island,data.Females,data.25 years and over,
2017,data.Prince Edward Island,data.Females,data.25 years and over,0.32
2018,data.Prince Edward Island,data.Females,data.25 years and over,0.31
2019,data.Prince Edward Island,data.Females,data.25 years and over,
2020,data.Prince Edward Island,data.Females,data.25 years and over,
2015,data.Prince Edward Island,data.Females,data.25 to 44 years,
2016,data.Prince Edward Island,data.Females,data.25 to 44 years,
2017,data.Prince Edward Island,data.Females,data.25 to 44 years,
2018,data.Prince Edward Island,data.Females,data.25 to 44 years,
2019,data.Prince Edward Island,data.Females,data.25 to 44 years,
