Year,Geography,data.Offences,data.Age of accused,data.Sex of accused,Value
2015/2016,Canada,data.Total Criminal Code,45 to 54 years,Males,124.0
2016/2017,Canada,data.Total Criminal Code,45 to 54 years,Males,139.0
2017/2018,Canada,data.Total Criminal Code,45 to 54 years,Males,143.0
2018/2019,Canada,data.Total Criminal Code,45 to 54 years,Males,141.0
2014/2015,Canada,data.Total Criminal Code,45 to 54 years,Females,105.0
2015/2016,Canada,data.Total Criminal Code,45 to 54 years,Females,113.0
2016/2017,Canada,data.Total Criminal Code,45 to 54 years,Females,120.0
2017/2018,Canada,data.Total Criminal Code,45 to 54 years,Females,127.0
2018/2019,Canada,data.Total Criminal Code,45 to 54 years,Females,129.0
2014/2015,Canada,data.Total Criminal Code,45 to 54 years,data.Sex unknown,149.0
2015/2016,Canada,data.Total Criminal Code,45 to 54 years,data.Sex unknown,147.0
2016/2017,Canada,data.Total Criminal Code,45 to 54 years,data.Sex unknown,156.0
2017/2018,Canada,data.Total Criminal Code,45 to 54 years,data.Sex unknown,135.0
2018/2019,Canada,data.Total Criminal Code,45 to 54 years,data.Sex unknown,141.0
2014/2015,Canada,data.Total Criminal Code,55 years and over,data.Total - sex of accused,113.0
2015/2016,Canada,data.Total Criminal Code,55 years and over,data.Total - sex of accused,114.0
2016/2017,Canada,data.Total Criminal Code,55 years and over,data.Total - sex of accused,124.0
2017/2018,Canada,data.Total Criminal Code,55 years and over,data.Total - sex of accused,126.0
2018/2019,Canada,data.Total Criminal Code,55 years and over,data.Total - sex of accused,126.0
2014/2015,Canada,data.Total Criminal Code,55 years and over,Males,117.0
2015/2016,Canada,data.Total Criminal Code,55 years and over,Males,120.0
2016/2017,Canada,data.Total Criminal Code,55 years and over,Males,128.0
2017/2018,Canada,data.Total Criminal Code,55 years and over,Males,131.0
2018/2019,Canada,data.Total Criminal Code,55 years and over,Males,131.0
2014/2015,Canada,data.Total Criminal Code,55 years and over,Females,86.0
2015/2016,Canada,data.Total Criminal Code,55 years and over,Females,83.0
2016/2017,Canada,data.Total Criminal Code,55 years and over,Females,93.0
2017/2018,Canada,data.Total Criminal Code,55 years and over,Females,99.0
2018/2019,Canada,data.Total Criminal Code,55 years and over,Females,102.0
2014/2015,Canada,data.Total Criminal Code,55 years and over,data.Sex unknown,148.0
2015/2016,Canada,data.Total Criminal Code,55 years and over,data.Sex unknown,159.0
2016/2017,Canada,data.Total Criminal Code,55 years and over,data.Sex unknown,162.0
2017/2018,Canada,data.Total Criminal Code,55 years and over,data.Sex unknown,143.0
2018/2019,Canada,data.Total Criminal Code,55 years and over,data.Sex unknown,127.0
2014/2015,Canada,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,174.0
2015/2016,Canada,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,173.0
2016/2017,Canada,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,183.0
2017/2018,Canada,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,183.0
2018/2019,Canada,data.Crimes against the person,data.Total - age of accused,data.Total - sex of accused,178.0
2014/2015,Canada,data.Crimes against the person,data.Total - age of accused,Males,178.0
2015/2016,Canada,data.Crimes against the person,data.Total - age of accused,Males,177.0
2016/2017,Canada,data.Crimes against the person,data.Total - age of accused,Males,189.0
2017/2018,Canada,data.Crimes against the person,data.Total - age of accused,Males,190.0
2018/2019,Canada,data.Crimes against the person,data.Total - age of accused,Males,184.0
2014/2015,Canada,data.Crimes against the person,data.Total - age of accused,Females,143.0
2015/2016,Canada,data.Crimes against the person,data.Total - age of accused,Females,145.0
2016/2017,Canada,data.Crimes against the person,data.Total - age of accused,Females,155.0
2017/2018,Canada,data.Crimes against the person,data.Total - age of accused,Females,154.0
2018/2019,Canada,data.Crimes against the person,data.Total - age of accused,Females,155.0
2014/2015,Canada,data.Crimes against the person,data.Total - age of accused,data.Company,247.0
2015/2016,Canada,data.Crimes against the person,data.Total - age of accused,data.Company,97.0
2016/2017,Canada,data.Crimes against the person,data.Total - age of accused,data.Company,419.0
2017/2018,Canada,data.Crimes against the person,data.Total - age of accused,data.Company,479.0
2018/2019,Canada,data.Crimes against the person,data.Total - age of accused,data.Company,162.0
2014/2015,Canada,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,199.0
2015/2016,Canada,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,198.0
2016/2017,Canada,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,190.0
2017/2018,Canada,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,180.0
2018/2019,Canada,data.Crimes against the person,data.Total - age of accused,data.Sex unknown,175.0
2014/2015,Canada,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,194.0
2015/2016,Canada,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,192.0
2016/2017,Canada,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,206.0
2017/2018,Canada,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,206.0
2018/2019,Canada,data.Crimes against the person,data.18 to 24 years,data.Total - sex of accused,203.0
2014/2015,Canada,data.Crimes against the person,data.18 to 24 years,Males,203.0
2015/2016,Canada,data.Crimes against the person,data.18 to 24 years,Males,200.0
2016/2017,Canada,data.Crimes against the person,data.18 to 24 years,Males,218.0
2017/2018,Canada,data.Crimes against the person,data.18 to 24 years,Males,217.0
2018/2019,Canada,data.Crimes against the person,data.18 to 24 years,Males,216.0
2014/2015,Canada,data.Crimes against the person,data.18 to 24 years,Females,157.0
2015/2016,Canada,data.Crimes against the person,data.18 to 24 years,Females,154.0
2016/2017,Canada,data.Crimes against the person,data.18 to 24 years,Females,167.0
2017/2018,Canada,data.Crimes against the person,data.18 to 24 years,Females,172.0
2018/2019,Canada,data.Crimes against the person,data.18 to 24 years,Females,163.0
2014/2015,Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,220.0
2015/2016,Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,221.0
2016/2017,Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,204.0
2017/2018,Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,199.0
2018/2019,Canada,data.Crimes against the person,data.18 to 24 years,data.Sex unknown,194.0
2014/2015,Canada,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,171.0
2015/2016,Canada,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,172.0
2016/2017,Canada,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,179.0
2017/2018,Canada,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,181.0
2018/2019,Canada,data.Crimes against the person,25 to 34 years,data.Total - sex of accused,178.0
2014/2015,Canada,data.Crimes against the person,25 to 34 years,Males,176.0
2015/2016,Canada,data.Crimes against the person,25 to 34 years,Males,176.0
2016/2017,Canada,data.Crimes against the person,25 to 34 years,Males,184.0
2017/2018,Canada,data.Crimes against the person,25 to 34 years,Males,189.0
2018/2019,Canada,data.Crimes against the person,25 to 34 years,Males,185.0
2014/2015,Canada,data.Crimes against the person,25 to 34 years,Females,142.0
2015/2016,Canada,data.Crimes against the person,25 to 34 years,Females,148.0
2016/2017,Canada,data.Crimes against the person,25 to 34 years,Females,155.0
2017/2018,Canada,data.Crimes against the person,25 to 34 years,Females,154.0
2018/2019,Canada,data.Crimes against the person,25 to 34 years,Females,157.0
2014/2015,Canada,data.Crimes against the person,25 to 34 years,data.Sex unknown,197.0
2015/2016,Canada,data.Crimes against the person,25 to 34 years,data.Sex unknown,198.0
2016/2017,Canada,data.Crimes against the person,25 to 34 years,data.Sex unknown,180.0
2017/2018,Canada,data.Crimes against the person,25 to 34 years,data.Sex unknown,175.0
2018/2019,Canada,data.Crimes against the person,25 to 34 years,data.Sex unknown,172.0
2014/2015,Canada,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,169.0
2015/2016,Canada,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,169.0
2016/2017,Canada,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,176.0
2017/2018,Canada,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,177.0
2018/2019,Canada,data.Crimes against the person,35 to 44 years,data.Total - sex of accused,170.0
2014/2015,Canada,data.Crimes against the person,35 to 44 years,Males,173.0
2015/2016,Canada,data.Crimes against the person,35 to 44 years,Males,172.0
2016/2017,Canada,data.Crimes against the person,35 to 44 years,Males,182.0
2017/2018,Canada,data.Crimes against the person,35 to 44 years,Males,185.0
2018/2019,Canada,data.Crimes against the person,35 to 44 years,Males,175.0
2014/2015,Canada,data.Crimes against the person,35 to 44 years,Females,142.0
2015/2016,Canada,data.Crimes against the person,35 to 44 years,Females,145.0
2016/2017,Canada,data.Crimes against the person,35 to 44 years,Females,155.0
2017/2018,Canada,data.Crimes against the person,35 to 44 years,Females,147.0
2018/2019,Canada,data.Crimes against the person,35 to 44 years,Females,151.0
2014/2015,Canada,data.Crimes against the person,35 to 44 years,data.Sex unknown,194.0
2015/2016,Canada,data.Crimes against the person,35 to 44 years,data.Sex unknown,192.0
2016/2017,Canada,data.Crimes against the person,35 to 44 years,data.Sex unknown,186.0
2017/2018,Canada,data.Crimes against the person,35 to 44 years,data.Sex unknown,165.0
2018/2019,Canada,data.Crimes against the person,35 to 44 years,data.Sex unknown,163.0
2014/2015,Canada,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,164.0
2015/2016,Canada,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,162.0
2016/2017,Canada,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,176.0
2017/2018,Canada,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,177.0
2018/2019,Canada,data.Crimes against the person,45 to 54 years,data.Total - sex of accused,175.0
2014/2015,Canada,data.Crimes against the person,45 to 54 years,Males,169.0
2015/2016,Canada,data.Crimes against the person,45 to 54 years,Males,165.0
2016/2017,Canada,data.Crimes against the person,45 to 54 years,Males,182.0
2017/2018,Canada,data.Crimes against the person,45 to 54 years,Males,183.0
2018/2019,Canada,data.Crimes against the person,45 to 54 years,Males,179.0
2014/2015,Canada,data.Crimes against the person,45 to 54 years,Females,134.0
2015/2016,Canada,data.Crimes against the person,45 to 54 years,Females,141.0
2016/2017,Canada,data.Crimes against the person,45 to 54 years,Females,148.0
2017/2018,Canada,data.Crimes against the person,45 to 54 years,Females,152.0
2018/2019,Canada,data.Crimes against the person,45 to 54 years,Females,155.0
2014/2015,Canada,data.Crimes against the person,45 to 54 years,data.Sex unknown,194.0
2015/2016,Canada,data.Crimes against the person,45 to 54 years,data.Sex unknown,189.0
2016/2017,Canada,data.Crimes against the person,45 to 54 years,data.Sex unknown,183.0
2017/2018,Canada,data.Crimes against the person,45 to 54 years,data.Sex unknown,169.0
2018/2019,Canada,data.Crimes against the person,45 to 54 years,data.Sex unknown,168.0
2014/2015,Canada,data.Crimes against the person,55 years and over,data.Total - sex of accused,159.0
2015/2016,Canada,data.Crimes against the person,55 years and over,data.Total - sex of accused,163.0
2016/2017,Canada,data.Crimes against the person,55 years and over,data.Total - sex of accused,169.0
2017/2018,Canada,data.Crimes against the person,55 years and over,data.Total - sex of accused,171.0
2018/2019,Canada,data.Crimes against the person,55 years and over,data.Total - sex of accused,164.0
2014/2015,Canada,data.Crimes against the person,55 years and over,Males,161.0
2015/2016,Canada,data.Crimes against the person,55 years and over,Males,166.0
2016/2017,Canada,data.Crimes against the person,55 years and over,Males,172.0
2017/2018,Canada,data.Crimes against the person,55 years and over,Males,174.0
